"","female_1","female_0","male_1","male_0","p_value","adjusted_p_value"
"A1CF"," 4","91"," 10","246","1","1"
"A2M"," 3","92"," 10","246","0.990600924893009","1"
"A2ML1"," 1","94"," 14","242","0.128395767845038","1"
"A4GNT"," 5","90","  6","250","0.293724357263609","1"
"AAAS"," 1","94","  1","255","1","1"
"AADAC"," 1","94","  5","251","0.908554613649432","1"
"AADACL2"," 1","94","  4","252","1","1"
"AADACL3"," 1","94","  3","253","0.999999999999992","1"
"AADACL4"," 2","93","  2","254","0.636637597230118","1"
"AADAT"," 2","93","  3","253","0.881751182552064","1"
"AAGAB"," 1","94","  3","253","0.999999999999992","1"
"AAK1"," 1","94","  3","253","0.999999999999992","1"
"AAMDC"," 1","94","  0","256","0.605203450856607","1"
"AARD"," 1","94","  3","253","0.999999999999992","1"
"AARS"," 1","94","  5","251","0.908554613649432","1"
"AARS2"," 3","92","  8","248","0.999999999999997","1"
"AASDH"," 1","94","  5","251","0.908554613649432","1"
"AASDHPPT"," 2","93","  1","255","0.369227083836679","1"
"AASS"," 4","91"," 10","246","1","1"
"ABAT"," 1","94","  2","254","0.999999999999992","1"
"ABCA1"," 7","88"," 13","243","0.573232764618429","1"
"ABCA10"," 3","92"," 18","238","0.268657972581423","1"
"ABCA12"," 3","92","  8","248","0.999999999999997","1"
"ABCA13","17","78"," 31","225","0.219907871499241","1"
"ABCA2"," 2","93","  6","250","0.999999999999998","1"
"ABCA3"," 2","93","  6","250","0.999999999999998","1"
"ABCA4"," 2","93"," 19","237","0.106810425796092","1"
"ABCA5"," 3","92","  7","249","0.999999999999996","1"
"ABCA6"," 5","90"," 10","246","0.793747200904389","1"
"ABCA8"," 4","91"," 20","236","0.342138027820193","1"
"ABCA9"," 4","91"," 22","234","0.244506169908925","1"
"ABCB1","10","85"," 16","240","0.258553002458301","1"
"ABCB10"," 3","92"," 10","246","0.990600924893009","1"
"ABCB11"," 2","93","  8","248","0.881432743834035","1"
"ABCB4"," 3","92"," 13","243","0.632415098509811","1"
"ABCB5"," 5","90"," 22","234","0.415081544339884","1"
"ABCB6"," 2","93","  4","252","0.999999999999999","1"
"ABCB7"," 5","90","  3","253","0.0601843139452382","1"
"ABCC1"," 3","92","  7","249","0.999999999999996","1"
"ABCC10"," 1","94"," 10","246","0.308414001408589","1"
"ABCC11"," 6","89"," 13","243","0.849440699595668","1"
"ABCC12"," 4","91"," 21","235","0.289780584390571","1"
"ABCC2"," 4","91","  7","249","0.718493878993268","1"
"ABCC3"," 2","93","  3","253","0.881751182552064","1"
"ABCC4"," 2","93","  2","254","0.636637597230118","1"
"ABCC5"," 4","91","  7","249","0.718493878993268","1"
"ABCC6"," 1","94","  4","252","1","1"
"ABCC8"," 4","91"," 14","242","0.839526263804131","1"
"ABCC9"," 2","93"," 14","242","0.291747473640824","1"
"ABCD1"," 4","91","  1","255","0.0295278869997594","1"
"ABCD2"," 6","89"," 14","242","0.964080035273778","1"
"ABCD3"," 3","92","  1","255","0.108660522638231","1"
"ABCD4"," 1","94","  2","254","0.999999999999992","1"
"ABCE1"," 1","94","  0","256","0.605203450856607","1"
"ABCF1"," 2","93","  3","253","0.881751182552064","1"
"ABCF2"," 1","94","  7","249","0.592298080633525","1"
"ABCF3"," 2","93","  7","249","0.999999999999997","1"
"ABCG2"," 3","92","  6","250","0.961141301354855","1"
"ABCG4"," 1","94","  7","249","0.592298080633525","1"
"ABCG5"," 1","94","  3","253","0.999999999999992","1"
"ABCG8"," 3","92"," 13","243","0.632415098509811","1"
"ABHD10"," 1","94","  3","253","0.999999999999992","1"
"ABHD12B"," 1","94","  0","256","0.605203450856607","1"
"ABHD16A"," 1","94","  2","254","0.999999999999992","1"
"ABHD16B"," 1","94","  1","255","1","1"
"ABHD17A"," 1","94","  0","256","0.605203450856607","1"
"ABHD17B"," 1","94","  2","254","0.999999999999992","1"
"ABHD4"," 1","94","  0","256","0.605203450856607","1"
"ABHD5"," 2","93","  2","254","0.636637597230118","1"
"ABHD6"," 1","94","  0","256","0.605203450856607","1"
"ABI1"," 1","94","  1","255","1","1"
"ABI2"," 1","94","  4","252","1","1"
"ABI3BP"," 1","94","  5","251","0.908554613649432","1"
"ABL2"," 2","93"," 12","244","0.428694300436154","1"
"ABLIM1"," 2","93","  7","249","0.999999999999997","1"
"ABR"," 2","93","  5","251","1","1"
"ABRA"," 1","94","  1","255","1","1"
"AC004381.6"," 1","94","  1","255","1","1"
"AC004980.7"," 1","94","  1","255","1","1"
"AC005017.2"," 1","94","  1","255","1","1"
"AC005251.3"," 1","94","  0","256","0.605203450856607","1"
"AC005307.3"," 1","94","  1","255","1","1"
"AC005863.1"," 1","94","  0","256","0.605203450856607","1"
"AC008984.5"," 1","94","  0","256","0.605203450856607","1"
"AC011453.3"," 1","94","  0","256","0.605203450856607","1"
"AC011467.1"," 5","90"," 10","246","0.793747200904389","1"
"AC015849.16"," 4","91","  6","250","0.566675816077286","1"
