"","female_1","female_0","male_1","male_0","p_value","adjusted_p_value"
"A1BG","  2","167","  2","276","1","1"
"A1CF"," 12","157"," 35","243","0.0938000507442877","0.757847640476094"
"A2M"," 15","154"," 19","259","0.544900483766548","1"
"A2ML1"," 10","159"," 41","237","0.00705309189706708","0.505298650951545"
"A4GALT","  4","165"," 13","265","0.325684207270223","0.987943793141786"
"A4GNT","  1","168","  3","275","0.989831728180177","1"
"AAAS","  3","166","  5","273","0.999999999999998","1"
"AACS","  1","168","  7","271","0.261990128632664","0.949148852110599"
"AACSP1","  4","165","  8","270","0.982227814027532","1"
"AADAC","  9","160","  9","269","0.4004458343093","1"
"AADACL2","  4","165"," 17","261","0.11283417710508","0.806715694828861"
"AADACL3","  5","164"," 12","266","0.636296532737278","1"
"AADACL4","  7","162"," 12","266","0.999999999999996","1"
"AADAT","  2","167"," 10","268","0.218986051780858","0.918488975969745"
"AAED1","  2","167","  1","277","0.662131620517469","1"
"AAK1","  2","167","  6","272","0.699518850960407","1"
"AAMP","  4","165","  7","271","0.999999999999997","1"
"AANAT","  1","168","  1","277","1","1"
"AAR2","  1","168","  6","272","0.367718773581616","1"
"AARS","  2","167","  9","269","0.296308464224681","0.949148852110599"
"AARS2","  2","167","  6","272","0.699518850960407","1"
"AASDH","  1","168","  6","272","0.367718773581616","1"
"AASDHPPT","  3","166","  5","273","0.999999999999998","1"
"AASS","  1","168"," 10","268","0.0941365412071712","0.757847640476094"
"AATF","  3","166","  5","273","0.999999999999998","1"
"AATK","  1","168","  9","269","0.132504078985264","0.806715694828861"
"ABAT","  8","161"," 11","267","0.878355390352751","1"
"ABCA1","  5","164"," 16","262","0.260757305638382","0.949148852110599"
"ABCA10","  4","165"," 27","251","0.00556764233528545","0.478338428456524"
"ABCA12"," 23","146"," 59","219","0.0586583905577157","0.721981823782294"
"ABCA13"," 23","146"," 60","218","0.0480711686612713","0.688255912561599"
"ABCA2","  6","163"," 19","259","0.210184596950074","0.918488975969745"
"ABCA3","  7","162"," 21","257","0.214128845457875","0.918488975969745"
"ABCA4"," 17","152"," 46","232","0.0765097558697463","0.757847640476094"
"ABCA5","  4","165"," 15","263","0.194477478758766","0.883477940569606"
"ABCA6"," 10","159"," 25","253","0.321100385101266","0.987943793141786"
"ABCA7","  2","167"," 21","257","0.00622786545178466","0.478338428456524"
"ABCA8","  8","161"," 34","244","0.0136286687927532","0.568788007759108"
"ABCA9","  8","161"," 19","259","0.484337405457785","1"
"ABCB1"," 18","151"," 30","248","1","1"
"ABCB10","  3","166","  8","270","0.67829183294966","1"
"ABCB11"," 12","157"," 37","241","0.0599267867813634","0.721981823782294"
