,p_value,p_value_adjusted,unparallel_test,Equivalence_test,CI_test
bladder_canada,0.01632201,1,0,0,0
bladder_usa_white,0.000720068,0.13465264,0,0,0
bladder_usa_black,0.63715817,1,0,1,1
bladder_south_korea,0.011530221,1,0,0,0
bladder_england,0.711754087,1,0,1,1
bladder_scotland,0.627911673,1,0,0,1
bladder_argentina,0.291912887,1,0,0,0
bladder_brazil,0.000543617,0.101656408,0,0,0
bladder_china,0.26811399,1,0,0,0
bladder_japan,0.173858672,1,0,0,0
bladder_india,0.493746706,1,0,1,1
bladder_france,0.003081168,0.576178326,0,0,0
bladder_germany,0.005459065,1,0,0,0
bladder_italy,0.005855566,1,0,0,0
bladder_spain,2.90E-05,0.005429697,1,0,0
bladder_switzerland,0.643425408,1,0,0,0
bladder_australia,0.068178135,1,0,0,0
colon_canada,0.080878883,1,0,0,0
colon_usa_white,0.015125766,1,0,1,0
colon_usa_black,0.005161637,0.965226059,0,0,0
colon_south_korea,0.000485535,0.090795109,0,0,0
colon_england,0.071283929,1,0,1,0
colon_scotland,0.000823672,0.154026702,0,0,0
colon_argentina,0.184754221,1,0,0,0
colon_brazil,0.000136438,0.025513904,1,0,0
colon_china,0.979128441,1,0,1,1
colon_japan,0.000726812,0.135913772,0,0,0
colon_india,0.511150511,1,0,1,1
colon_france,0.000135557,0.025349159,1,0,0
colon_germany,0.224180572,1,0,0,0
colon_italy,0.002209164,0.413113695,0,0,0
colon_spain,0.000446388,0.083474612,0,0,0
colon_switzerland,0.016439419,1,0,0,0
colon_australia,0.055449135,1,0,0,0
kindey_canada,0.020329434,1,0,0,0
kindey_usa_white,0.000153144,0.028637993,1,0,0
kindey_usa_black,0.009929192,1,0,0,0
kindey_south_korea,0.083873639,1,0,1,0
kindey_england,0.025687597,1,0,1,0
kindey_scotland,0.779531552,1,0,1,1
kindey_argentina,0.205694922,1,0,0,1
kindey_brazil,0.09487556,1,0,0,0
kindey_china,0.325852144,1,0,0,1
kindey_japan,0.877486711,1,0,1,1
kindey_india,0.000614523,0.114915761,0,0,0
kindey_france,0.02986896,1,0,0,0
kindey_germany,0.448907526,1,0,1,1
kindey_italy,0.087056107,1,0,1,0
kindey_spain,0.113613983,1,0,0,0
kindey_switzerland,0.017170525,1,0,0,0
kindey_australia,0.073589383,1,0,1,0
liver_canada,0.959178875,1,0,0,1
liver_usa_white,0.177398002,1,0,0,0
liver_usa_black,0.418346435,1,0,0,1
liver_south_korea,0.856472936,1,0,0,1
liver_england,0.019109212,1,0,0,0
liver_scotland,0.178182588,1,0,0,0
liver_argentina,0.377567077,1,0,0,1
liver_brazil,0.008654348,1,0,0,0
liver_china,0.078700786,1,0,0,0
liver_japan,0.908200098,1,0,0,1
liver_india,4.08E-05,0.007637278,1,0,0
liver_france,0.067005298,1,0,0,0
liver_germany,0.115988772,1,0,0,0
liver_italy,0.482634181,1,0,0,1
liver_spain,0.328047239,1,0,0,0
liver_switzerland,0.05568838,1,0,0,0
liver_australia,0.026820121,1,0,0,0
luad_canada,0.114041409,1,0,0,0
luad_usa_white,0.146431079,1,0,0,0
luad_usa_black,0.225721787,1,0,0,1
luad_south_korea,7.93E-06,0.001482596,1,0,0
luad_england,0.459888793,1,0,0,1
luad_scotland,0.004533504,0.847765191,0,0,0
luad_argentina,0.151439549,1,0,0,0
luad_brazil,0.027172543,1,0,0,0
luad_china,0.022639706,1,0,1,0
luad_japan,0.080982194,1,0,1,0
luad_india,0.000288755,0.053997232,0,0,0
luad_france,0.11195653,1,0,0,0
luad_germany,0.025221274,1,0,0,0
luad_italy,0.004352905,0.813993164,0,0,0
luad_spain,0.058461473,1,0,0,0
luad_switzerland,0.408938181,1,0,0,1
luad_australia,0.323072857,1,0,0,0
lusc_canada,0.250233578,1,0,0,1
lusc_usa_white,0.035793481,1,0,0,0
lusc_usa_black,0.952396945,1,0,0,1
lusc_south_korea,3.23E-08,6.04E-06,1,0,0
lusc_england,0.061059787,1,0,0,0
lusc_scotland,0.376380599,1,0,0,1
lusc_argentina,0.296115918,1,0,0,0
lusc_brazil,0.022312512,1,0,0,0
lusc_china,2.74E-05,0.005130861,1,0,0
lusc_japan,0.149564059,1,0,0,0
lusc_india,0.006333916,1,0,0,0
lusc_france,0.00774293,1,0,0,0
lusc_germany,0.00356737,0.667098137,0,0,0
lusc_italy,0.028885978,1,0,0,0
lusc_spain,0.004614977,0.863000748,0,0,0
lusc_switzerland,0.06521118,1,0,0,0
lusc_australia,0.093057151,1,0,0,0
melanoma_canada,8.27E-09,1.55E-06,1,0,0
melanoma_usa_white,1.70E-10,3.18E-08,1,0,0
melanoma_usa_black,0.004740743,0.886518941,0,0,0
melanoma_south_korea,0.055509405,1,0,1,0
melanoma_england,6.88E-07,0.000128672,1,0,0
melanoma_scotland,1.18E-05,0.002201586,1,0,0
melanoma_argentina,0.402670284,1,0,0,0
melanoma_brazil,0.006180218,1,0,0,0
melanoma_china,0.560180775,1,0,0,1
melanoma_japan,0.000111286,0.020810525,1,0,0
melanoma_india,0.386400682,1,0,0,1
melanoma_france,0.000549,0.102662982,0,0,0
melanoma_germany,2.61E-05,0.004882344,1,0,0
melanoma_italy,2.34E-07,4.37E-05,1,0,0
melanoma_spain,3.93E-06,0.000734221,1,0,0
melanoma_switzerland,0.000414709,0.077550663,0,0,0
melanoma_australia,4.04E-06,0.000755401,1,0,0
oesophagus_canada,0.970296713,1,0,1,1
oesophagus_usa_white,0.450362222,1,0,1,1
oesophagus_usa_black,0.833849574,1,0,0,1
oesophagus_south_korea,0.003725235,0.696618884,0,0,0
oesophagus_england,0.656573286,1,0,0,1
oesophagus_scotland,0.25211012,1,0,0,1
oesophagus_argentina,0.062881942,1,0,0,0
oesophagus_brazil,0.503710376,1,0,0,1
oesophagus_china,0.343731172,1,0,0,1
oesophagus_japan,0.003119833,0.583408838,0,0,0
oesophagus_india,0.02113549,1,0,0,0
oesophagus_france,0.088829302,1,0,0,0
oesophagus_germany,0.709384817,1,0,0,1
oesophagus_italy,0.448538241,1,0,0,1
oesophagus_spain,0.021858395,1,0,0,0
oesophagus_switzerland,0.061627612,1,0,0,0
oesophagus_australia,0.359235649,1,0,1,1
pancreas_canada,0.043117319,1,0,0,0
pancreas_usa_white,0.050815042,1,0,1,0
pancreas_usa_black,0.124933758,1,0,0,0
pancreas_south_korea,0.051725847,1,0,1,0
pancreas_england,0.139108648,1,0,0,0
pancreas_scotland,0.198461177,1,0,0,0
pancreas_argentina,0.975149537,1,0,1,1
