"","female_1","female_0","male_1","male_0","p_value","adjusted_p_value"
"A1BG"," 1","106"," 2","169","0.999999999999989","1"
"A1CF"," 3","104"," 4","167","0.999999999999997","1"
"A2M"," 6","101","10","161","0.999999999999998","1"
"A2ML1"," 7","100"," 6","165","0.382315802619587","1"
"A3GALT2"," 2","105"," 1","170","0.680353679627556","1"
"A4GALT"," 3","104"," 0","171","0.108492141381498","1"
"AAAS"," 4","103"," 2","169","0.312518692037205","1"
"AACS"," 2","105"," 1","170","0.680353679627556","1"
"AADAC"," 2","105"," 1","170","0.680353679627556","1"
"AADACL2"," 2","105"," 3","168","0.999999999999997","1"
"AADACL3"," 7","100"," 6","165","0.382315802619587","1"
"AADACL4"," 2","105"," 1","170","0.680353679627556","1"
"AADAT"," 3","104"," 3","168","0.871530895456888","1"
"AAGAB"," 2","105"," 1","170","0.680353679627556","1"
"AAK1"," 2","105"," 3","168","0.999999999999997","1"
"AAMDC"," 1","106"," 0","171","0.812659244996201","1"
"AAMP"," 2","105"," 2","169","0.999999999999998","1"
"AANAT"," 1","106"," 0","171","0.812659244996201","1"
"AAR2"," 2","105"," 1","170","0.680353679627556","1"
"AARS"," 3","104"," 2","169","0.593473499958091","1"
"AARS2"," 6","101"," 3","168","0.156214349402009","1"
"AASDH"," 7","100"," 2","169","0.0344851247919626","1"
"AASS"," 4","103"," 1","170","0.143932341229931","1"
"AATK"," 2","105"," 3","168","0.999999999999997","1"
"ABAT"," 2","105"," 2","169","0.999999999999998","1"
"ABCA1"," 6","101"," 7","164","0.771959779447237","1"
"ABCA10"," 6","101"," 9","162","1","1"
"ABCA12","11"," 96","18","153","0.999999999999999","1"
"ABCA13","13"," 94","23","148","0.895980932631689","1"
"ABCA2","12"," 95"," 7","164","0.0408244864203836","1"
"ABCA3"," 9"," 98"," 6","165","0.136863657047344","1"
"ABCA4"," 9"," 98"," 4","167","0.0412222916758063","1"
"ABCA5"," 6","101"," 7","164","0.771959779447237","1"
"ABCA6"," 3","104"," 5","166","0.999999999999999","1"
"ABCA7"," 6","101"," 8","163","0.949883313021567","1"
"ABCA8"," 7","100"," 3","168","0.0792901227281461","1"
"ABCA9"," 7","100"," 2","169","0.0344851247919626","1"
"ABCB1","11"," 96","12","159","0.461022823474103","1"
"ABCB10","11"," 96"," 4","167","0.00991669150738557","1"
"ABCB11"," 3","104"," 6","165","0.999999999999996","1"
"ABCB4"," 7","100"," 8","163","0.691792007826165","1"
"ABCB5"," 5","102"," 5","166","0.666492643123929","1"
"ABCB6"," 5","102"," 6","165","0.866338712001005","1"
"ABCB7"," 1","106"," 2","169","0.999999999999989","1"
"ABCB8"," 4","103"," 2","169","0.312518692037205","1"
"ABCB9"," 3","104"," 2","169","0.593473499958091","1"
"ABCC1"," 5","102"," 4","167","0.470610920420767","1"
"ABCC10"," 4","103"," 4","167","0.756327580501328","1"
"ABCC11"," 9"," 98"," 4","167","0.0412222916758063","1"
"ABCC12"," 4","103"," 8","163","0.942604222483727","1"
"ABCC2"," 5","102"," 8","163","0.999999999999998","1"
"ABCC3"," 5","102"," 6","165","0.866338712001005","1"
"ABCC4"," 7","100"," 7","164","0.530983369866694","1"
"ABCC5"," 4","103"," 5","166","0.980013824497191","1"
"ABCC6"," 7","100"," 5","166","0.253851274561557","1"
"ABCC6P1"," 2","105"," 1","170","0.680353679627556","1"
"ABCC8"," 3","104"," 8","163","0.642653358310553","1"
"ABCC9","17"," 90","14","157","0.0736171303696678","1"
"ABCD1"," 4","103"," 3","168","0.52612126455169","1"
"ABCD2"," 1","106"," 4","167","0.693814107308467","1"
"ABCD3"," 1","106"," 1","170","0.999999999999998","1"
"ABCD4"," 2","105"," 3","168","0.999999999999997","1"
"ABCE1"," 4","103"," 6","165","0.999999999999996","1"
"ABCF1"," 4","103"," 7","164","0.999999999999997","1"
"ABCF2"," 2","105"," 4","167","1","1"
"ABCF3"," 3","104"," 4","167","0.999999999999997","1"
"ABCG1"," 5","102"," 3","168","0.294814949816856","1"
"ABCG2"," 3","104"," 4","167","0.999999999999997","1"
"ABCG8"," 2","105"," 3","168","0.999999999999997","1"
"ABHD1"," 2","105"," 0","171","0.286865559264561","1"
"ABHD11"," 1","106"," 0","171","0.812659244996201","1"
"ABHD12"," 1","106"," 1","170","0.999999999999998","1"
"ABHD12B"," 2","105"," 1","170","0.680353679627556","1"
"ABHD13"," 1","106"," 0","171","0.812659244996201","1"
"ABHD14A"," 1","106"," 3","168","0.967330798322832","1"
"ABHD15"," 2","105"," 2","169","0.999999999999998","1"
"ABHD16A"," 1","106"," 4","167","0.693814107308467","1"
"ABHD16B"," 1","106"," 1","170","0.999999999999998","1"
"ABHD17AP6"," 3","104"," 2","169","0.593473499958091","1"
"ABHD17C"," 1","106"," 0","171","0.812659244996201","1"
"ABHD2"," 7","100"," 5","166","0.253851274561557","1"
"ABHD4"," 1","106"," 2","169","0.999999999999989","1"
"ABHD5"," 1","106"," 0","171","0.812659244996201","1"
"ABHD6"," 3","104"," 0","171","0.108492141381498","1"
"ABHD8"," 2","105"," 4","167","1","1"
"ABI1"," 2","105"," 2","169","0.999999999999998","1"
"ABI2"," 2","105"," 4","167","1","1"
"ABI3BP"," 5","102"," 6","165","0.866338712001005","1"
"ABL1"," 2","105"," 3","168","0.999999999999997","1"
"ABL2"," 5","102"," 9","162","0.999999999999998","1"
"ABLIM1"," 5","102"," 3","168","0.294814949816856","1"
"ABLIM2"," 1","106"," 3","168","0.967330798322832","1"
"ABLIM3"," 2","105"," 2","169","0.999999999999998","1"
"ABO"," 3","104"," 1","170","0.320164865085647","1"
"ABR"," 1","106"," 3","168","0.967330798322832","1"
"ABRA"," 2","105"," 2","169","0.999999999999998","1"
"ABRACL"," 1","106"," 0","171","0.812659244996201","1"
"ABT1"," 1","106"," 4","167","0.693814107308467","1"
"ABTB1"," 3","104"," 1","170","0.320164865085647","1"
"ABTB2"," 5","102"," 2","169","0.155403873458458","1"
"AC003958.2"," 1","106"," 2","169","0.999999999999989","1"
"AC004381.6"," 6","101"," 0","171","0.00680119430324822","1"
"AC004987.9"," 1","106"," 2","169","0.999999999999989","1"
"AC005017.2"," 2","105"," 0","171","0.286865559264561","1"
"AC005251.3"," 1","106"," 0","171","0.812659244996201","1"
"AC005522.7"," 2","105"," 2","169","0.999999999999998","1"
"AC005631.1"," 2","105"," 0","171","0.286865559264561","1"
"AC005863.1"," 1","106"," 4","167","0.693814107308467","1"
"AC007040.11"," 1","106"," 2","169","0.999999999999989","1"
"AC008268.2"," 1","106"," 0","171","0.812659244996201","1"
"AC010203.1"," 2","105"," 3","168","0.999999999999997","1"
"AC011453.3"," 1","106"," 1","170","0.999999999999998","1"
"AC011467.1"," 2","105"," 3","168","0.999999999999997","1"
"AC015849.16"," 2","105"," 4","167","1","1"
"AC016734.2"," 1","106"," 1","170","0.999999999999998","1"
"AC016757.3"," 2","105"," 2","169","0.999999999999998","1"
"AC018462.2"," 1","106"," 1","170","0.999999999999998","1"
"AC022007.5"," 2","105"," 1","170","0.680353679627556","1"
"AC023310.1"," 3","104"," 0","171","0.108492141381498","1"
"AC073310.4"," 2","105"," 0","171","0.286865559264561","1"
"AC073869.1"," 1","106"," 0","171","0.812659244996201","1"
"AC073869.20"," 1","106"," 1","170","0.999999999999998","1"
"AC078899.1"," 2","105"," 1","170","0.680353679627556","1"
"AC090825.1"," 3","104"," 0","171","0.108492141381498","1"
"AC091565.1"," 1","106"," 0","171","0.812659244996201","1"
"AC092071.1"," 2","105"," 1","170","0.680353679627556","1"
"AC093642.5"," 1","106"," 0","171","0.812659244996201","1"
"AC093838.4"," 4","103"," 2","169","0.312518692037205","1"
"AC096579.13"," 1","106"," 0","171","0.812659244996201","1"
"AC105339.2"," 2","105"," 0","171","0.286865559264561","1"
"AC107977.2"," 1","106"," 0","171","0.812659244996201","1"
"AC116165.1"," 1","106"," 4","167","0.693814107308467","1"
"AC124312.1"," 6","101"," 0","171","0.00680119430324822","1"
"AC231657.1"," 1","106"," 0","171","0.812659244996201","1"
"AC243562.1"," 1","106"," 1","170","0.999999999999998","1"
"ACAA1"," 1","106"," 1","170","0.999999999999998","1"
"ACAA2"," 4","103"," 4","167","0.756327580501328","1"
"ACACA"," 5","102"," 7","164","0.999999999999996","1"
"ACACB","13"," 94"," 9","162","0.0655886674995613","1"
"ACAD10"," 4","103"," 7","164","0.999999999999997","1"
"ACAD11"," 5","102"," 1","170","0.0631423104346593","1"
"ACAD8"," 1","106"," 1","170","0.999999999999998","1"
"ACAD9"," 2","105"," 2","169","0.999999999999998","1"
"ACADL"," 1","106"," 1","170","0.999999999999998","1"
"ACADM"," 1","106"," 5","166","0.492383561795919","1"
"ACADS"," 1","106"," 2","169","0.999999999999989","1"
"ACADSB"," 2","105"," 3","168","0.999999999999997","1"
"ACADVL"," 2","105"," 1","170","0.680353679627556","1"
"ACAN"," 6","101","11","160","0.982283686520675","1"
"ACAP1"," 3","104"," 2","169","0.593473499958091","1"
"ACAP2"," 2","105"," 3","168","0.999999999999997","1"
"ACAT1"," 4","103"," 1","170","0.143932341229931","1"
"ACAT2"," 1","106"," 2","169","0.999999999999989","1"
"ACBD3"," 2","105"," 3","168","0.999999999999997","1"
"ACBD4"," 3","104"," 4","167","0.999999999999997","1"
"ACBD5"," 2","105"," 2","169","0.999999999999998","1"
"ACBD6"," 1","106"," 0","171","0.812659244996201","1"
"ACBD7"," 2","105"," 1","170","0.680353679627556","1"
"ACCS"," 3","104"," 3","168","0.871530895456888","1"
"ACCSL"," 4","103"," 6","165","0.999999999999996","1"
"ACD"," 4","103"," 0","171","0.0424384823215139","1"
"ACE"," 3","104"," 3","168","0.871530895456888","1"
"ACE2"," 6","101"," 4","167","0.274440673629528","1"
"ACER1"," 1","106"," 2","169","0.999999999999989","1"
"ACER2"," 2","105"," 2","169","0.999999999999998","1"
"ACHE"," 5","102"," 2","169","0.155403873458458","1"
"ACIN1"," 5","102"," 4","167","0.470610920420767","1"
"ACKR1"," 3","104"," 1","170","0.320164865085647","1"
"ACKR2"," 2","105"," 2","169","0.999999999999998","1"
"ACKR3"," 3","104"," 2","169","0.593473499958091","1"
"ACKR4"," 4","103"," 2","169","0.312518692037205","1"
"ACLY"," 2","105"," 3","168","0.999999999999997","1"
"ACMSD"," 3","104"," 1","170","0.320164865085647","1"
"ACO1"," 3","104"," 1","170","0.320164865085647","1"
"ACO2"," 4","103"," 2","169","0.312518692037205","1"
"ACOT12"," 2","105"," 2","169","0.999999999999998","1"
"ACOT13"," 1","106"," 0","171","0.812659244996201","1"
"ACOT2"," 1","106"," 2","169","0.999999999999989","1"
"ACOT6"," 1","106"," 2","169","0.999999999999989","1"
"ACOT7"," 2","105"," 1","170","0.680353679627556","1"
"ACOT8"," 2","105"," 0","171","0.286865559264561","1"
"ACOT9"," 1","106"," 1","170","0.999999999999998","1"
"ACOX1"," 1","106"," 2","169","0.999999999999989","1"
"ACOX2"," 3","104"," 4","167","0.999999999999997","1"
"ACOX3"," 6","101"," 5","166","0.423355181774913","1"
"ACOXL"," 2","105"," 3","168","0.999999999999997","1"
"ACP1"," 5","102"," 2","169","0.155403873458458","1"
"ACP2"," 2","105"," 2","169","0.999999999999998","1"
"ACP5"," 4","103"," 0","171","0.0424384823215139","1"
"ACP6"," 1","106"," 0","171","0.812659244996201","1"
"ACPP"," 1","106"," 2","169","0.999999999999989","1"
"ACPT"," 2","105"," 1","170","0.680353679627556","1"
"ACR"," 1","106"," 1","170","0.999999999999998","1"
"ACRBP"," 2","105"," 2","169","0.999999999999998","1"
"ACRC"," 5","102"," 0","171","0.0169036633661737","1"
"ACRV1"," 2","105"," 2","169","0.999999999999998","1"
"ACSBG1"," 1","106"," 5","166","0.492383561795919","1"
"ACSBG2"," 2","105"," 3","168","0.999999999999997","1"
"ACSF2"," 1","106"," 1","170","0.999999999999998","1"
"ACSL3"," 4","103"," 2","169","0.312518692037205","1"
"ACSL4"," 2","105"," 1","170","0.680353679627556","1"
"ACSL5"," 2","105"," 3","168","0.999999999999997","1"
"ACSL6"," 5","102"," 1","170","0.0631423104346593","1"
"ACSM1"," 3","104"," 1","170","0.320164865085647","1"
"ACSM2A"," 3","104"," 7","164","0.817345868909524","1"
"ACSM2B"," 2","105"," 5","166","0.878536797268131","1"
"ACSM3"," 4","103"," 1","170","0.143932341229931","1"
"ACSM4"," 3","104"," 0","171","0.108492141381498","1"
"ACSM5"," 1","106"," 2","169","0.999999999999989","1"
"ACSM6"," 1","106"," 1","170","0.999999999999998","1"
"ACSS1"," 7","100"," 7","164","0.530983369866694","1"
"ACSS2"," 3","104"," 1","170","0.320164865085647","1"
"ACSS3"," 2","105"," 7","164","0.5019770514753","1"
"ACTA1"," 1","106"," 0","171","0.812659244996201","1"
"ACTA2"," 2","105"," 1","170","0.680353679627556","1"
"ACTB"," 2","105"," 2","169","0.999999999999998","1"
"ACTBL2"," 1","106"," 3","168","0.967330798322832","1"
"ACTC1"," 3","104"," 3","168","0.871530895456888","1"
"ACTG1"," 1","106"," 1","170","0.999999999999998","1"
"ACTG2"," 3","104"," 4","167","0.999999999999997","1"
"ACTL10"," 1","106"," 0","171","0.812659244996201","1"
"ACTL6A"," 3","104"," 2","169","0.593473499958091","1"
"ACTL6B"," 2","105"," 1","170","0.680353679627556","1"
"ACTL7A"," 7","100"," 2","169","0.0344851247919626","1"
"ACTL7B"," 2","105"," 2","169","0.999999999999998","1"
"ACTL9"," 8"," 99"," 2","169","0.0156599187921583","1"
"ACTN1"," 3","104"," 4","167","0.999999999999997","1"
"ACTN2"," 7","100","10","161","1","1"
"ACTN3"," 3","104"," 2","169","0.593473499958091","1"
"ACTN4"," 5","102"," 4","167","0.470610920420767","1"
"ACTR1A"," 3","104"," 5","166","0.999999999999999","1"
"ACTR1B"," 2","105"," 1","170","0.680353679627556","1"
"ACTR2"," 3","104"," 0","171","0.108492141381498","1"
"ACTR5"," 3","104"," 3","168","0.871530895456888","1"
"ACTR6"," 1","106"," 2","169","0.999999999999989","1"
"ACTR8"," 3","104"," 5","166","0.999999999999999","1"
"ACTRT1"," 3","104"," 7","164","0.817345868909524","1"
"ACTRT2"," 6","101"," 4","167","0.274440673629528","1"
"ACTRT3"," 3","104"," 2","169","0.593473499958091","1"
"ACVR1B"," 4","103"," 4","167","0.756327580501328","1"
"ACVR1C"," 2","105"," 1","170","0.680353679627556","1"
"ACVR2A","19"," 88","15","156","0.0416765789718466","1"
"ACVR2B"," 3","104"," 2","169","0.593473499958091","1"
"ACVRL1"," 2","105"," 2","169","0.999999999999998","1"
"ACY3"," 2","105"," 2","169","0.999999999999998","1"
"ACYP2"," 1","106"," 1","170","0.999999999999998","1"
"ADA"," 1","106"," 4","167","0.693814107308467","1"
"ADAD1"," 8"," 99"," 7","164","0.346193434216405","1"
"ADAD2"," 5","102"," 3","168","0.294814949816856","1"
"ADAM10"," 4","103"," 0","171","0.0424384823215139","1"
"ADAM11"," 1","106"," 1","170","0.999999999999998","1"
"ADAM12"," 6","101"," 1","170","0.0272817440165634","1"
"ADAM15"," 3","104"," 3","168","0.871530895456888","1"
"ADAM17"," 3","104"," 3","168","0.871530895456888","1"
"ADAM18"," 2","105"," 2","169","0.999999999999998","1"
"ADAM19"," 4","103"," 6","165","0.999999999999996","1"
"ADAM2"," 6","101"," 3","168","0.156214349402009","1"
"ADAM20"," 2","105"," 0","171","0.286865559264561","1"
"ADAM21"," 5","102"," 5","166","0.666492643123929","1"
"ADAM21P1"," 4","103"," 5","166","0.980013824497191","1"
"ADAM22"," 8"," 99"," 4","167","0.0805392474924275","1"
"ADAM23"," 2","105"," 4","167","1","1"
"ADAM28"," 5","102"," 5","166","0.666492643123929","1"
"ADAM29"," 5","102"," 5","166","0.666492643123929","1"
"ADAM30"," 2","105"," 6","165","0.669376764406716","1"
"ADAM32"," 1","106"," 1","170","0.999999999999998","1"
"ADAM33"," 3","104"," 2","169","0.593473499958091","1"
"ADAM7"," 6","101"," 5","166","0.423355181774913","1"
"ADAM8"," 1","106"," 4","167","0.693814107308467","1"
"ADAM9"," 6","101"," 0","171","0.00680119430324822","1"
"ADAMDEC1"," 3","104"," 2","169","0.593473499958091","1"
"ADAMTS1"," 5","102"," 6","165","0.866338712001005","1"
"ADAMTS10"," 8"," 99"," 6","165","0.233984347266704","1"
"ADAMTS12","11"," 96","11","160","0.353405793444528","1"
"ADAMTS13"," 8"," 99"," 8","163","0.477630835748701","1"
"ADAMTS14"," 6","101"," 5","166","0.423355181774913","1"
"ADAMTS15"," 6","101"," 2","169","0.0742730361279885","1"
"ADAMTS16","11"," 96","10","161","0.259521302947089","1"
"ADAMTS17"," 5","102"," 3","168","0.294814949816856","1"
