Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-AF-2687-10A-01D-1732-01	1	3218610	38735280	18633	0.0074
TCGA-AF-2687-10A-01D-1732-01	1	38735871	38737593	4	-1.552
TCGA-AF-2687-10A-01D-1732-01	1	38738690	105718206	40109	8e-04
TCGA-AF-2687-10A-01D-1732-01	1	105718461	105720987	3	-1.3456
TCGA-AF-2687-10A-01D-1732-01	1	105725773	186240145	31547	-0.0025
TCGA-AF-2687-10A-01D-1732-01	1	186240862	186243792	6	0.9675
TCGA-AF-2687-10A-01D-1732-01	1	186247924	247813706	38713	0.001
TCGA-AF-2687-10A-01D-1732-01	2	484222	229333688	123610	-0.0029
TCGA-AF-2687-10A-01D-1732-01	2	229333848	229334517	2	-2.9564
TCGA-AF-2687-10A-01D-1732-01	2	229338334	231258615	1070	-0.0065
TCGA-AF-2687-10A-01D-1732-01	2	231265351	231266278	2	1.4173
TCGA-AF-2687-10A-01D-1732-01	2	231267643	242476062	6500	0.0024
TCGA-AF-2687-10A-01D-1732-01	3	2212571	197538677	106302	9e-04
TCGA-AF-2687-10A-01D-1732-01	4	1053934	188763651	102690	0.0047
TCGA-AF-2687-10A-01D-1732-01	5	914233	180360469	100407	0.0017
TCGA-AF-2687-10A-01D-1732-01	6	1014281	170903919	96397	4e-04
TCGA-AF-2687-10A-01D-1732-01	7	705284	158385118	81271	8e-04
TCGA-AF-2687-10A-01D-1732-01	8	617667	145232496	81452	1e-04
TCGA-AF-2687-10A-01D-1732-01	9	789932	7605884	4068	-0.0057
TCGA-AF-2687-10A-01D-1732-01	9	7607901	7608154	2	-1.8478
TCGA-AF-2687-10A-01D-1732-01	9	7608984	140938752	63879	0.0041
TCGA-AF-2687-10A-01D-1732-01	10	415240	135225087	80792	0.0014
TCGA-AF-2687-10A-01D-1732-01	11	456120	134142530	77184	0.0033
TCGA-AF-2687-10A-01D-1732-01	12	889902	133161346	73874	-0.004
TCGA-AF-2687-10A-01D-1732-01	13	19450806	86484499	38664	-8e-04
TCGA-AF-2687-10A-01D-1732-01	13	86485356	86485522	3	-1.2811
